entry_date,exit_date,direction,qty,entry_price,exit_price,stop_loss,take_profit,pnl,status,confluence,factors
2025-07-18 16:00:00+00:00,2025-07-22 12:00:00+00:00,LONG,4.1545,32.0355,32.5659,31.7135,32.5724,2.2,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2025-07-22 12:00:00+00:00,2025-07-23 12:00:00+00:00,LONG,4.0925,32.6373,32.3039,32.3103,33.1823,-1.36,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2025-07-23 16:00:00+00:00,2025-07-25 12:00:00+00:00,LONG,4.0726,32.3138,31.9596,31.9659,32.8935,-1.44,CLOSED,2,EMA_trend|RSI_filter
2025-07-30 12:00:00+00:00,2025-07-30 16:00:00+00:00,LONG,3.845,31.5779,31.2468,31.2531,32.1191,-1.27,CLOSED,2,EMA_trend|RSI_filter
2025-08-01 16:00:00+00:00,2025-08-04 12:00:00+00:00,SHORT,2.8309,31.8209,32.2173,32.2109,31.1709,-1.12,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2025-08-05 16:00:00+00:00,2025-08-11 12:00:00+00:00,LONG,2.7273,32.2903,31.9249,31.9313,32.8886,-1.0,CLOSED,5,EMA_trend|EMA_cross|RSI_filter|MACD_confirm|LIQ_sweep
2025-08-07 12:00:00+00:00,2025-08-11 12:00:00+00:00,LONG,3.0982,32.3375,32.0151,32.0215,32.8642,-1.0,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2025-08-08 16:00:00+00:00,2025-08-11 12:00:00+00:00,LONG,3.1847,32.4797,32.1659,32.1723,32.9921,-1.0,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2025-08-12 12:00:00+00:00,2025-08-19 12:00:00+00:00,LONG,1.9292,31.9909,31.642,31.6483,32.5619,-0.67,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2025-08-13 16:00:00+00:00,2025-08-14 12:00:00+00:00,LONG,2.0164,32.0783,31.7442,31.7505,32.6245,-0.67,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2025-08-15 12:00:00+00:00,2025-08-28 12:00:00+00:00,LONG,1.9037,31.8995,32.4107,31.5888,32.4172,0.97,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2025-08-18 16:00:00+00:00,2025-08-26 12:00:00+00:00,LONG,2.1338,31.8248,32.2803,31.5477,32.2867,0.97,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
